<<<<<<< HEAD
price,rating,title
£51.77,star-rating Three,A Light in the Attic
£53.74,star-rating One,Tipping the Velvet
£50.10,star-rating One,Soumission
£47.82,star-rating Four,Sharp Objects
£54.23,star-rating Five,Sapiens: A Brief History of Humankind
£22.65,star-rating One,The Requiem Red
£33.34,star-rating Four,The Dirty Little Secrets of Getting Your Dream Job
£17.93,star-rating Three,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
£22.60,star-rating Four,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
£52.15,star-rating One,The Black Maria
£13.99,star-rating Two,"Starving Hearts (Triangular Trade Trilogy, #1)"
£20.66,star-rating Four,Shakespeare's Sonnets
£17.46,star-rating Five,Set Me Free
£52.29,star-rating Five,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
£35.02,star-rating Five,Rip it Up and Start Again
£57.25,star-rating Three,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
£23.88,star-rating One,Olio
£37.59,star-rating One,Mesaerion: The Best Science Fiction Stories 1800-1849
£51.33,star-rating Two,Libertarianism for Beginners
£45.17,star-rating Two,It's Only the Himalayas
£12.84,star-rating One,In Her Wake
£37.32,star-rating Two,How Music Works
£30.52,star-rating Three,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More"
£25.27,star-rating Five,Chase Me (Paris Nights #2)
£34.53,star-rating Five,Black Dust
£54.64,star-rating Three,Birdsong: A Story in Pictures
£22.50,star-rating Three,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana
£53.13,star-rating Three,Aladdin and His Wonderful Lamp
£40.30,star-rating Five,Worlds Elsewhere: Journeys Around Shakespeare’s Globe
£44.18,star-rating Four,Wall and Piece
£17.66,star-rating Five,The Four Agreements: A Practical Guide to Personal Freedom
£31.05,star-rating Three,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate
£23.82,star-rating Five,The Elephant Tree
£36.89,star-rating One,The Bear and the Piano
£15.94,star-rating Five,Sophie's World
£33.29,star-rating Three,Penny Maybe
£18.02,star-rating Two,Maude (1883-1993):She Grew Up with the country
£19.63,star-rating One,"In a Dark, Dark Wood"
£52.22,star-rating Four,Behind Closed Doors
£33.63,star-rating Two,You can't bury them all: Poems
£57.31,star-rating Three,Slow States of Collapse: Poems
£26.41,star-rating Two,Reasons to Stay Alive
£47.61,star-rating Five,Private Paris (Private #10)
£23.11,star-rating Five,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.
£45.07,star-rating Two,Without Borders (Wanderlove #1)
£31.77,star-rating One,When We Collided
£50.27,star-rating Five,"We Love You, Charlie Freeman"
£14.27,star-rating Four,Untitled Collection: Sabbath Poems 2014
£44.18,star-rating Four,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness"
£18.78,star-rating Three,Unicorn Tracks
£25.52,star-rating One,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink"
£16.28,star-rating One,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)
£31.12,star-rating Three,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity
£19.49,star-rating Four,This One Summer
£17.27,star-rating Five,Thirst
£19.09,star-rating One,The Torch Is Passed: A Harding Family Story
£56.13,star-rating One,The Secret of Dreadwillow Carse
£56.41,star-rating One,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!"
£56.50,star-rating Four,The Past Never Ends
£45.22,star-rating Three,The Natural History of Us (The Fine Art of Pretending #2)
£38.16,star-rating Four,The Nameless City (The Nameless City #1)
£54.11,star-rating Three,The Murder That Never Was (Forensic Instincts #5)
£42.96,star-rating Four,The Most Perfect Thing: Inside (and Outside) a Bird's Egg
£23.89,star-rating Four,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy"
£16.77,star-rating Three,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing
£20.59,star-rating Five,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer"
£37.13,star-rating One,The Gutsy Girl: Escapades for Your Life of Epic Adventure
£56.06,star-rating One,The Electric Pencil: Drawings from Inside State Hospital No. 3
£58.11,star-rating Four,The Death of Humanity: and the Case for Life
£49.05,star-rating Three,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life"
£40.76,star-rating Three,The Art Forger
£19.73,star-rating One,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind
£32.24,star-rating Five,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution
£41.83,star-rating Four,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up
£39.58,star-rating Two,Soul Reader
£39.25,star-rating Two,Security
£25.02,star-rating Three,"Saga, Volume 6 (Saga (Collected Editions) #6)"
£51.04,star-rating Two,"Saga, Volume 5 (Saga (Collected Editions) #5)"
£19.83,star-rating Two,Reskilling America: Learning to Labor in the Twenty-First Century
£50.40,star-rating Three,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)"
£13.61,star-rating Five,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)"
£13.34,star-rating Five,Princess Between Worlds (Wide-Awake Princess #5)
£18.97,star-rating One,"Pop Gun War, Volume 1: Gift"
£36.28,star-rating Two,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics"
£10.16,star-rating Three,Patience
£15.44,star-rating Four,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)"
£48.41,star-rating One,orange: The Complete Collection 1 (orange: The Complete Collection #1)
£46.35,star-rating One,Online Marketing for Busy Authors: A Step-By-Step Guide
£14.07,star-rating Three,On a Midnight Clear
£14.86,star-rating Two,Obsidian (Lux #1)
£33.37,star-rating Two,My Paris Kitchen: Recipes and Stories
£56.40,star-rating Two,Masks and Shadows
£14.02,star-rating Four,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed"
£46.91,star-rating Two,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)"
£45.61,star-rating Three,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)"
£19.92,star-rating Two,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)
£40.11,star-rating One,"Layered: Baking, Building, and Styling Spectacular Cakes"
£53.90,star-rating Two,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners)
£35.67,star-rating Five,Join
£22.00,star-rating Four,In the Country We Love: My Family Divided
£57.36,star-rating Five,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine
£29.17,star-rating Two,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)"
£54.63,star-rating Three,I am a Hero Omnibus Volume 1
£46.03,star-rating One,How to Be Miserable: 40 Strategies You Already Use
£33.97,star-rating One,Her Backup Boyfriend (The Sorensen Family #1)
£22.11,star-rating Two,"Giant Days, Vol. 2 (Giant Days #5-8)"
£29.69,star-rating Three,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton
£15.97,star-rating Four,First and First (Five Boroughs #3)
£21.96,star-rating One,Fifty Shades Darker (Fifty Shades #2)
£54.35,star-rating Two,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day
£37.97,star-rating Two,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master"
£51.99,star-rating Four,Danganronpa Volume 1
£43.29,star-rating Three,Crown of Midnight (Throne of Glass #2)
£36.72,star-rating Four,"Codename Baboushka, Volume 1: The Conclave of Death"
£17.08,star-rating Four,Camp Midnight
£29.14,star-rating Five,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle
£28.81,star-rating Three,Burning
£49.46,star-rating Two,Bossypants
£37.92,star-rating Two,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))"
£28.09,star-rating Two,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)"
£30.81,star-rating One,Algorithms to Live By: The Computer Science of Human Decisions
£42.95,star-rating One,A World of Flavor: Your Gluten Free Passport
£56.76,star-rating Five,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations"
£16.64,star-rating One,A Murder in Time
£55.53,star-rating Five,A Flight of Arrows (The Pathfinders #2)
£28.13,star-rating Four,A Fierce and Subtle Poison
£52.37,star-rating One,A Court of Thorns and Roses (A Court of Thorns and Roses #1)
£54.00,star-rating Five,(Un)Qualified: How God Uses Broken People to Do Big Things
£21.87,star-rating Four,You Are What You Love: The Spiritual Power of Habit
£43.30,star-rating Four,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)"
£21.04,star-rating Two,Tuesday Nights in 1980
£41.60,star-rating Three,Tracing Numbers on a Train
